latitude,longitude,name,desc,color,source,precision
45.3537598,-75.6472168,2446 Bank at Hunt Club Ottawa ON,"Hunt Club Rd, Ottawa, ON K1T, Canada",,Bing Maps,intersection
45.3758011,-75.7575378,1855 Carling at Maitland Ottawa ON,"Avenue Carling & Avenue Maitland, Ottawa, ON K2A, Canada",,Bing Maps,intersection
